[[9, 10, 1, 2], [7, 8, 10, 9], [5, 6, 8, 7], [1, 2, 6, 5]]
[[9, 10, 6, 2], [7, 8, 10, 9], [1, 5, 8, 7], [2, 1, 6, 5]]
[[10, 11, 2, 3], [8, 9, 11, 10], [7, 1, 9, 8], [1, 2, 3, 7]]
[[9, 10, 8, 2], [1, 7, 10, 9], [5, 6, 8, 7], [2, 1, 6, 5]]
[[9, 10, 8, 6], [1, 7, 10, 9], [2, 5, 8, 7], [1, 2, 6, 5]]
[[9, 10, 8, 6], [5, 7, 10, 9], [2, 1, 8, 7], [2, 1, 5, 6]]
[[10, 11, 9, 3], [1, 8, 11, 10], [7, 2, 9, 8], [2, 3, 1, 7]]
[[9, 10, 2, 7], [8, 1, 10, 9], [5, 6, 2, 8], [1, 6, 5, 7]]
[[10, 11, 2, 3], [9, 1, 11, 10], [1, 7, 8, 9], [2, 3, 8, 7]]
[[10, 11, 2, 8], [9, 1, 11, 10], [7, 2, 3, 9], [3, 1, 7, 8]]
[[10, 11, 1, 8], [9, 2, 11, 10], [7, 2, 3, 9], [3, 1, 7, 8]]
[[10, 11, 3, 8], [9, 1, 11, 10], [7, 2, 3, 9], [2, 1, 7, 8]]
[[10, 11, 2, 3], [9, 1, 11, 10], [7, 8, 3, 9], [1, 2, 8, 7]]
[[11, 12, 3, 4], [10, 1, 12, 11], [1, 9, 2, 10], [2, 3, 4, 9]]
[[11, 12, 3, 5], [10, 2, 12, 11], [1, 9, 5, 10], [2, 3, 1, 9]]
[[11, 12, 9, 4], [10, 4, 12, 11], [1, 2, 3, 10], [1, 3, 2, 9]]
[[11, 12, 9, 2], [10, 4, 12, 11], [1, 2, 3, 10], [1, 4, 3, 9]]
[[11, 12, 2, 9], [10, 4, 12, 11], [1, 2, 3, 10], [1, 4, 3, 9]]
[[11, 10, 8, 3], [1, 2, 9, 11], [3, 7, 10, 9], [1, 2, 8, 7]]
[[11, 10, 8, 2], [1, 2, 9, 11], [3, 7, 10, 9], [1, 3, 8, 7]]
[[12, 11, 3, 4], [1, 2, 10, 12], [9, 1, 11, 10], [3, 4, 2, 9]]
[[13, 1, 4, 5], [1, 12, 2, 13], [2, 11, 3, 12], [3, 4, 5, 11]]
[[13, 6, 5, 4], [1, 12, 2, 13], [2, 1, 11, 12], [4, 5, 6, 11]]
[[12, 10, 2, 4], [1, 2, 11, 12], [3, 4, 9, 11], [1, 3, 10, 9]]
[[12, 10, 2, 5], [1, 2, 11, 12], [3, 1, 9, 11], [5, 3, 10, 9]]
[[13, 1, 2, 11], [1, 2, 12, 13], [3, 4, 5, 12], [5, 4, 3, 11]]
