[[11, 1, 2, 3], [1, 9, 10, 11], [7, 8, 10, 9], [2, 3, 8, 7]]
[[11, 1, 3, 2], [1, 9, 10, 11], [7, 8, 10, 9], [2, 3, 8, 7]]
[[11, 7, 8, 3], [1, 9, 10, 11], [2, 3, 10, 9], [1, 2, 8, 7]]
[[11, 7, 8, 2], [1, 9, 10, 11], [2, 3, 10, 9], [1, 3, 8, 7]]
[[11, 1, 7, 8], [1, 9, 10, 11], [2, 3, 10, 9], [2, 3, 8, 7]]
[[11, 2, 7, 8], [1, 9, 10, 11], [2, 3, 10, 9], [1, 3, 8, 7]]
[[12, 1, 3, 4], [1, 10, 11, 12], [9, 2, 11, 10], [2, 3, 4, 9]]
[[12, 2, 3, 5], [1, 10, 11, 12], [9, 5, 11, 10], [2, 3, 1, 9]]
[[12, 2, 5, 4], [1, 10, 11, 12], [9, 5, 11, 10], [2, 1, 4, 9]]
[[12, 3, 2, 5], [1, 10, 11, 12], [2, 9, 11, 10], [3, 1, 5, 9]]
[[11, 10, 3, 2], [1, 2, 9, 11], [7, 8, 10, 9], [3, 1, 8, 7]]
[[11, 9, 2, 3], [1, 10, 8, 11], [2, 3, 7, 10], [1, 9, 8, 7]]
[[11, 9, 2, 4], [1, 10, 8, 11], [2, 1, 7, 10], [4, 9, 8, 7]]
[[12, 1, 3, 4], [1, 11, 10, 12], [2, 3, 9, 11], [4, 2, 10, 9]]
[[13, 1, 4, 5], [1, 12, 2, 13], [2, 11, 3, 12], [3, 4, 5, 11]]
[[13, 4, 3, 2], [1, 12, 5, 13], [2, 11, 1, 12], [3, 4, 5, 11]]
[[13, 3, 6, 5], [1, 12, 2, 13], [2, 3, 11, 12], [1, 5, 6, 11]]
[[13, 4, 3, 2], [1, 12, 5, 13], [2, 3, 11, 12], [4, 5, 1, 11]]
[[11, 9, 2, 3], [1, 2, 10, 11], [3, 7, 8, 10], [1, 9, 8, 7]]
[[11, 9, 2, 4], [1, 2, 10, 11], [1, 7, 8, 10], [4, 9, 8, 7]]
[[12, 10, 2, 4], [1, 2, 11, 12], [3, 4, 9, 11], [1, 3, 10, 9]]
[[12, 10, 2, 5], [1, 2, 11, 12], [3, 1, 9, 11], [5, 3, 10, 9]]
