[[13, 14, 1, 2], [11, 12, 14, 13], [9, 10, 12, 11], [7, 8, 10, 9], [5, 6, 8, 7], [1, 2, 6, 5]]
[[13, 14, 6, 2], [11, 12, 14, 13], [9, 10, 12, 11], [7, 8, 10, 9], [1, 5, 8, 7], [2, 1, 6, 5]]
[[14, 15, 2, 3], [12, 13, 15, 14], [10, 11, 13, 12], [8, 9, 11, 10], [7, 1, 9, 8], [1, 2, 3, 7]]
[[13, 14, 8, 2], [11, 12, 14, 13], [9, 10, 12, 11], [1, 7, 10, 9], [5, 6, 8, 7], [2, 1, 6, 5]]
[[13, 14, 8, 6], [11, 12, 14, 13], [9, 10, 12, 11], [1, 7, 10, 9], [2, 5, 8, 7], [1, 2, 6, 5]]
[[13, 14, 8, 6], [11, 12, 14, 13], [9, 10, 12, 11], [5, 7, 10, 9], [2, 1, 8, 7], [2, 1, 5, 6]]
[[14, 15, 9, 3], [12, 13, 15, 14], [10, 11, 13, 12], [1, 8, 11, 10], [7, 2, 9, 8], [2, 3, 1, 7]]
[[13, 14, 2, 7], [11, 12, 14, 13], [9, 10, 12, 11], [8, 1, 10, 9], [5, 6, 2, 8], [1, 6, 5, 7]]
[[14, 15, 2, 3], [12, 13, 15, 14], [10, 11, 13, 12], [9, 1, 11, 10], [1, 7, 8, 9], [2, 3, 8, 7]]
[[14, 15, 2, 8], [12, 13, 15, 14], [10, 11, 13, 12], [9, 1, 11, 10], [7, 2, 3, 9], [3, 1, 7, 8]]
[[14, 15, 1, 8], [12, 13, 15, 14], [10, 11, 13, 12], [9, 2, 11, 10], [7, 2, 3, 9], [3, 1, 7, 8]]
[[14, 15, 3, 8], [12, 13, 15, 14], [10, 11, 13, 12], [9, 1, 11, 10], [7, 2, 3, 9], [2, 1, 7, 8]]
[[14, 15, 2, 3], [12, 13, 15, 14], [10, 11, 13, 12], [9, 1, 11, 10], [7, 8, 3, 9], [1, 2, 8, 7]]
[[14, 15, 3, 2], [12, 13, 15, 14], [10, 11, 13, 12], [9, 1, 11, 10], [7, 8, 3, 9], [1, 2, 8, 7]]
[[15, 16, 3, 4], [13, 14, 16, 15], [11, 12, 14, 13], [10, 1, 12, 11], [1, 9, 2, 10], [2, 3, 4, 9]]
[[15, 16, 3, 5], [13, 14, 16, 15], [11, 12, 14, 13], [10, 2, 12, 11], [1, 9, 5, 10], [2, 3, 1, 9]]
[[15, 16, 9, 4], [13, 14, 16, 15], [11, 12, 14, 13], [10, 4, 12, 11], [1, 2, 3, 10], [1, 3, 2, 9]]
[[15, 16, 9, 2], [13, 14, 16, 15], [11, 12, 14, 13], [10, 4, 12, 11], [1, 2, 3, 10], [1, 4, 3, 9]]
[[15, 16, 2, 9], [13, 14, 16, 15], [11, 12, 14, 13], [10, 4, 12, 11], [1, 2, 3, 10], [1, 4, 3, 9]]
[[13, 14, 10, 2], [11, 12, 14, 13], [1, 9, 12, 11], [7, 8, 10, 9], [5, 6, 8, 7], [2, 1, 6, 5]]
