[[0, 0, 4], [0, 0, 4], [0, 0, 4]]
[[1, 0, 6], [-1, 1, 4], [0, 3, 4]]
[[1, 0, 6], [0, 0, 6], [-1, 1, 4]]
[[1, 0, 6], [0, 0, 6], [-1, 2, 4]]
[[1, 0, 6], [0, 0, 6], [-1, 4, 4]]
[[1, 0, 6], [0, 0, 6], [0, 0, 6]]
[[1, 0, 6], [0, 0, 6], [0, 2, 6]]
[[1, 0, 6], [0, 0, 6], [0, 3, 6]]
[[1, 0, 6], [0, 0, 6], [1, 0, 8]]
[[1, 0, 6], [0, 0, 6], [1, 1, 8]]
[[1, 0, 6], [0, 1, 6], [-1, 0, 4]]
[[1, 0, 6], [0, 1, 6], [0, 0, 6]]
[[1, 0, 6], [1, 0, 8], [-1, 2, 6]]
[[1, 0, 6], [1, 0, 8], [0, 0, 8]]
[[1, 0, 6], [1, 0, 8], [0, 1, 8]]
[[1, 0, 6], [1, 0, 8], [1, 0, 10]]
[[1, 0, 6], [1, 0, 8], [1, 1, 10]]
[[1, 0, 6], [1, 1, 8], [-1, 1, 6]]
[[1, 0, 6], [1, 1, 8], [-1, 4, 6]]
[[1, 0, 6], [1, 1, 8], [-1, 5, 6]]
[[1, 0, 6], [1, 1, 8], [0, 0, 8]]
[[1, 0, 6], [1, 1, 8], [0, 1, 8]]
[[1, 0, 6], [1, 1, 8], [0, 3, 8]]
[[1, 0, 6], [1, 1, 8], [0, 5, 8]]
[[1, 0, 6], [1, 1, 8], [1, 1, 10]]
[[1, 0, 6], [1, 1, 8], [1, 4, 10]]
[[1, 0, 6], [1, 1, 8], [1, 5, 10]]
